,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,dien_tich,huong_ban_cong,phong_ngu,id_thanh_pho,ten_thanh_pho,id_quan,ten_quan,so_tang,mat_tien,noi_that,huong_nha,so_do,lat,long,gia,gia_m2,du_an,project_name,id_duong,ten_duong,do_rong_duong,do_rong_duong_ml,id_phuong,ten_phuong
208,3692,37151,37151,75.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2c,Quận Đống Đa,7.0,4.0,,,0,21.017649,105.830046,21800.0,290.6666666666667,,,5e958eea208d0d6d7648fdc1,11,8.0,Mặt phố - Mặt đường,5e5501cbeb80a7245175e127,Phường Khâm Thiên
209,3701,37160,37160,110.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2c,Quận Đống Đa,9.0,4.3,,,0,21.009967,105.823136,29000.0,263.6363636363636,,,5e958eea208d0d6d7648fdd3,25,5.0,Mặt phố - Mặt đường,5e5501cbeb80a7245175e12c,Phường Trung Liệt
210,3703,37162,37162,65.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2c,Quận Đống Đa,7.0,4.5,,Đông Nam,0,21.017649,105.830046,21000.0,323.07692307692315,,,5e958eea208d0d6d7648fd71,37,12.0,Mặt phố - Mặt đường,5e5501cbeb80a7245175e125,Phường Hàng Bột
211,3716,37175,37175,100.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2c,Quận Đống Đa,5.0,6.0,,,0,21.0092227,105.8143864,32000.0,320.0,,,5e958eea208d0d6d7648fdae,81,25.0,Mặt phố - Mặt đường,,
212,3729,37188,37188,32.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2c,Quận Đống Đa,6.0,3.6,,,0,21.009967,105.823136,11300.0,353.125,,,5e958eea208d0d6d7648fd97,76,40.0,Mặt phố - Mặt đường,,
213,3745,37204,37204,100.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2c,Quận Đống Đa,2.0,4.5,,,0,28.647889799999998,180.0,22500.0,225.0,,,5e958eea208d0d6d7648fd8c,56,20.0,Mặt phố - Mặt đường,,
214,3749,37208,37208,36.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2c,Quận Đống Đa,6.0,3.9,,,0,21.0092227,105.8143864,6600.0,183.33333333333331,,,5e958eea208d0d6d7648fd9c,67,4.0,Mặt phố - Mặt đường,5e5501cbeb80a7245175e12e,Phường Thịnh Quang
215,3764,37223,37223,72.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2c,Quận Đống Đa,5.0,4.0,,KXĐ,0,21.009967,105.823136,13400.0,186.11111111111111,,,5e958eea208d0d6d7648fd97,76,10.0,Mặt phố - Mặt đường,,
216,3923,37382,37382,63.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2c,Quận Đống Đa,7.0,4.5,,,0,21.017649,105.830046,16300.0,258.7301587301588,,,5e958eea208d0d6d7648fdbc,6,12.0,Mặt phố - Mặt đường,,
217,3944,37403,37403,100.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2c,Quận Đống Đa,9.0,4.5,,,0,21.0153717,105.8128851,56000.0,560.0,,,5e958eea208d0d6d7648fdc4,14,60.0,Mặt phố - Mặt đường,5e5501cbeb80a7245175e126,Phường Láng Hạ
218,3960,37419,37419,70.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2c,Quận Đống Đa,5.0,4.5,,,0,21.0187513,105.8219003,9500.0,135.71428571428572,,,5e958eea208d0d6d7648fdc6,16,5.0,Mặt phố - Mặt đường,,
